track_id,title,extension,s3_url,collection_folder,album_folder,SKU,type,Description,audio_url,image_url,video_url,price,in_stock,categories,content_type
11_legion,Legion,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 11_legion.md,,,,media,,,,,,,,lyrics
12_when_my_elites_surround,When My Elites Surround,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 12_when_my_elites_surround.ipynb,,,,media,,,,,,,,notebook
12_when_my_elites_surround,When My Elites Surround,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 12_when_my_elites_surround.md,,,,media,,,,,,,,lyrics
13_reincarnated_2_resist,Reincarnated 2 Resist,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 13_reincarnated_2_resist.ipynb,,,,media,,,,,,,,notebook
13_reincarnated_2_resist,Reincarnated 2 Resist,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 13_reincarnated_2_resist.md,,,,media,,,,,,,,lyrics
EverLightsRite_TheMixtapeSessions,Everlightsrite Themixtapesessions,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ EverLightsRite_TheMixtapeSessions.ipynb,,,,media,,,,,,,,notebook
EverLightsRite_TheMixtapeSessions,Everlightsrite Themixtapesessions,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ EverLightsRite_TheMixtapeSessions.md,,,,media,,,,,,,,lyrics
Milabs_Arsenal,Milabs Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ Milabs_Arsenal.md,,,,media,,,,,,,,lyrics
â””Milabs_Lyric_Compilation,â””Milabs Lyric Compilation,html,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ Milabs_Lyric_Compilation.html,,,,media,,,,,,,,web
EverLightsRite_TheMixtapeSessions,Everlightsrite Themixtapesessions,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ EverLightsRite_TheMixtapeSessions.ipynb,,,,media,,,,,,,,notebook
FullDisclosure_Critical,Fulldisclosure Critical,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ FullDisclosure_Critical.md,,,,media,,,,,,,,lyrics
HawkEyeTheRapperâ€“BeholdaPaleHorse_Inspire,Hawkeyetherapperâ€“Beholdapalehorse Inspire,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Hawk Eye The Rapper â€“ Behold a Pale Horse_ Inspire.md,,,,media,,,,,,,,lyrics
HawkEyeTheRapperâ€“FullDisclosure_ATributet,Hawkeyetherapperâ€“Fulldisclosure Atributet,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Hawk Eye The Rapper â€“ Full Disclosure_ A Tribute t.md,,,,media,,,,,,,,lyrics
HawkEyeTheRapperâ€“Milabs_HonoringDr.KarlaT,Hawkeyetherapperâ€“Milabs Honoringdr.Karlat,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Hawk Eye The Rapper â€“ Milabs_ Honoring Dr. Karla T.md,,,,media,,,,,,,,lyrics
Mixtape_Sessions_Archive_Full_Vault,Mixtape Sessions Archive Full Vault,html,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Mixtape_Sessions_Archive_Full_Vault.html,,,,media,,,,,,,,web
Mixtape_Sessions_Archive,Mixtape Sessions Archive,html,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Mixtape_Sessions_Archive.html,,,,media,,,,,,,,web
Mixtape_Sessions_Archive,Mixtape Sessions Archive,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Mixtape_Sessions_Archive.md,,,,media,,,,,,,,lyrics
â””MixtapeSessions_Arsenal,â””Mixtapesessions Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â””â”€â”€ MixtapeSessions_Arsenal.md,,,,media,,,,,,,,lyrics
01_malicious,Malicious,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 01_malicious.ipynb,,,,media,,,,,,,,notebook
01-malicious,01-Malicious,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 01-malicious.md,,,,media,,,,,,,,lyrics
02_gang_shit,Gang Shit,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 02_gang_shit.ipynb,,,,media,,,,,,,,notebook
02-gang_shit,02-Gang Shit,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 02-gang_shit.md,,,,media,,,,,,,,lyrics
03_the_motherfucking_problem,The Motherfucking Problem,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 03_the_motherfucking_problem.ipynb,,,,media,,,,,,,,notebook
03-the_motherfucking_problem,03-The Motherfucking Problem,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 03-the_motherfucking_problem.md,,,,media,,,,,,,,lyrics
04_im_him,Im Him,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 04_im_him.ipynb,,,,media,,,,,,,,notebook
04-im_him,04-Im Him,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 04-im_him.md,,,,media,,,,,,,,lyrics
Malicious_Arsenal,Malicious Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ Malicious_Arsenal.md,,,,media,,,,,,,,lyrics
â””Malicious_Lyric_Compilation,â””Malicious Lyric Compilation,html,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ Malicious_Lyric_Compilation.html,,,,media,,,,,,,,web
001psychwar,001Psychwar,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 001psychwar.md,,,,media,,,,,,,,lyrics
01_psychological_warfare,Psychological Warfare,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 01_psychological_warfare.ipynb,,,,media,,,,,,,,notebook
01_psychological_warfare,Psychological Warfare,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 01_psychological_warfare.md,,,,media,,,,,,,,lyrics
02_down_the_rabbit_hole,Down The Rabbit Hole,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 02_down_the_rabbit_hole.ipynb,,,,media,,,,,,,,notebook
02_down_the_rabbit_hole,Down The Rabbit Hole,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 02_down_the_rabbit_hole.md,,,,media,,,,,,,,lyrics
03_domestic_terrorist,Domestic Terrorist,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 03_domestic_terrorist.ipynb,,,,media,,,,,,,,notebook
03_domestic_terrorist,Domestic Terrorist,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 03_domestic_terrorist.md,,,,media,,,,,,,,lyrics
04_relentless,Relentless,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 04_relentless.ipynb,,,,media,,,,,,,,notebook
04_relentless,Relentless,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 04_relentless.md,,,,media,,,,,,,,lyrics
05_never_heard_of_me,Never Heard Of Me,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 05_never_heard_of_me.ipynb,,,,media,,,,,,,,notebook
05_never_heard_of_me,Never Heard Of Me,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 05_never_heard_of_me.md,,,,media,,,,,,,,lyrics
06_spiteful_poetry,Spiteful Poetry,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 06_spiteful_poetry.ipynb,,,,media,,,,,,,,notebook
06_spiteful_poetry,Spiteful Poetry,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 06_spiteful_poetry.md,,,,media,,,,,,,,lyrics
07_devils_in_the_details,Devils In The Details,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 07_devils_in_the_details.md,,,,media,,,,,,,,lyrics
07_the_devils_in_the_details,The Devils In The Details,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 07_the_devils_in_the_details.ipynb,,,,media,,,,,,,,notebook
08_the_game,The Game,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 08_the_game.ipynb,,,,media,,,,,,,,notebook
08_the_game,The Game,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 08_the_game.md,,,,media,,,,,,,,lyrics
09_the_shadow_is_rising,The Shadow Is Rising,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 09_the_shadow_is_rising.ipynb,,,,media,,,,,,,,notebook
09_the_shadow_is_rising,The Shadow Is Rising,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 09_the_shadow_is_rising.md,,,,media,,,,,,,,lyrics
10_when_shit_gets_real,When Shit Gets Real,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 10_when_shit_gets_real.ipynb,,,,media,,,,,,,,notebook
10_when_shit_gets_real,When Shit Gets Real,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 10_when_shit_gets_real.md,,,,media,,,,,,,,lyrics
11_synthesis,Synthesis,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 11_synthesis.ipynb,,,,media,,,,,,,,notebook
11_synthesis,Synthesis,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 11_synthesis.md,,,,media,,,,,,,,lyrics
12_invokation,Invokation,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 12_invokation.ipynb,,,,media,,,,,,,,notebook
12_invokation,Invokation,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 12_invokation.md,,,,media,,,,,,,,lyrics
13_krystal_klear,Krystal Klear,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 13_krystal_klear.ipynb,,,,media,,,,,,,,notebook
13_krystal_klear,Krystal Klear,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ 13_krystal_klear.md,,,,media,,,,,,,,lyrics
Shadow_Banned_Arsenal,Shadow Banned Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â”œâ”€â”€ Shadow_Banned_Arsenal.md,,,,media,,,,,,,,lyrics
â””Shadow_Banned_Lyric_Compilation,â””Shadow Banned Lyric Compilation,html,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ Shadow_Banned_Lyric_Compilation.html,,,,media,,,,,,,,web
â””Phase2_Arsenal,â””Phase2 Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â””â”€â”€ Phase2_Arsenal.md,,,,media,,,,,,,,lyrics
Sun_Tzu,Sun Tzu,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Sun_Tzu.ipynb,,,,media,,,,,,,,notebook
SunBook,Sunbook,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ SunBook.ipynb,,,,media,,,,,,,,notebook
â””SunTzu_Reckoning_Arsenal,â””Suntzu Reckoning Arsenal,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â””â”€â”€ SunTzu_Reckoning_Arsenal.md,,,,media,,,,,,,,lyrics
ARS-00,Ars-00,csv,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/ARS-00.csv,,,,media,,,,,,,,media
arsenal_catalog,Arsenal Catalog,csv,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/arsenal_catalog.csv,,,,media,,,,,,,,media
Behold_A_Pale_Horse,Behold A Pale Horse,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Behold_A_Pale_Horse.md,,,,media,,,,,,,,lyrics
Full_Disclosure,Full Disclosure,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Full_Disclosure.md,,,,media,,,,,,,,lyrics
Malicious_EP,Malicious Ep,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Malicious_EP.md,,,,media,,,,,,,,lyrics
MILABS,Milabs,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ MILABS.md,,,,media,,,,,,,,lyrics
Shadow_Banned,Shadow Banned,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Shadow_Banned.md,,,,media,,,,,,,,lyrics
â””Singles_Arc,â””Singles Arc,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â””â”€â”€ Singles_Arc.md,,,,media,,,,,,,,lyrics
Behold_A_Pale_Horse,Behold A Pale Horse,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Behold_A_Pale_Horse.md,,,,media,,,,,,,,lyrics
Full_Disclosure,Full Disclosure,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Full_Disclosure.md,,,,media,,,,,,,,lyrics
Malicious_EP,Malicious Ep,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Malicious_EP.md,,,,media,,,,,,,,lyrics
MILABS,Milabs,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ MILABS.md,,,,media,,,,,,,,lyrics
Phase_II_Hypothesis,Phase Ii Hypothesis,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Phase_II_Hypothesis.md,,,,media,,,,,,,,lyrics
Singles,Singles,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Singles.md,,,,media,,,,,,,,lyrics
â””The_Mixtape_Sessions,â””The Mixtape Sessions,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â””â”€â”€ The_Mixtape_Sessions.md,,,,media,,,,,,,,lyrics
BAPH,Baph,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ BAPH.md,,,,media,,,,,,,,lyrics
Full_Disclosure,Full Disclosure,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Full_Disclosure.md,,,,media,,,,,,,,lyrics
Malicious,Malicious,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Malicious.md,,,HAWK-ME-01,The Malicious EP,"Digital download of â€œMalicious"" by Hawk Eye The Rapper.",,https://pub-a56823b59c6247ebba0bb168d783ba17.r2.dev/src/images/HAWK-ME-01/album_art.png,,0.69,1.0,digital > Malicious EP,lyrics
MILABS,Milabs,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ MILABS.md,,,,media,,,,,,,,lyrics
Phase_II,Phase Ii,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ Phase_II.md,,,,media,,,,,,,,lyrics
README,Readme,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”œâ”€â”€ README.md,,,,media,,,,,,,,lyrics
â””Singles,â””Singles,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â””â”€â”€ Singles.md,,,,media,,,,,,,,lyrics
EverLightsRite_TheMixtapeSessions,Everlightsrite Themixtapesessions,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/EverLightsRite_TheMixtapeSessions.md,,,,media,,,,,,,,lyrics
â””README,â””Readme,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ README.md,,,,media,,,,,,,,lyrics
â””EverLights_Rite,â””Everlights Rite,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ EverLights_Rite.md,,,,media,,,,,,,,lyrics
â””EverLights_Rite,â””Everlights Rite,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ EverLights_Rite.md,,,,media,,,,,,,,lyrics
â””EverLights_Rite,â””Everlights Rite,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ EverLights_Rite.md,,,,media,,,,,,,,lyrics
â””EverLights_Rite,â””Everlights Rite,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ EverLights_Rite.md,,,,media,,,,,,,,lyrics
â””EverLights_Rite,â””Everlights Rite,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â  â”‚Â Â  â””â”€â”€ EverLights_Rite.md,,,,media,,,,,,,,lyrics
â””PHASE_2_Foreshadowing,â””Phase 2 Foreshadowing,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/â”‚Â Â      â””â”€â”€ PHASE_2_Foreshadowing.md,,,,media,,,,,,,,lyrics
Main_Arsenal_Index,Main Arsenal Index,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/Main_Arsenal_Index.md,,,,media,,,,,,,,lyrics
Master_Index,Master Index,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/Master_Index.ipynb,,,,media,,,,,,,,notebook
MEDIA,Media,csv,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/MEDIA.csv,,,,media,,,,,,,,media
README,Readme,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/README.md,,,,media,,,,,,,,lyrics
The_Archive,The Archive,ipynb,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/The_Archive.ipynb,,,,media,,,,,,,,notebook
UnmaskingReality_HawkEyeTheRapper_s_Mixtape,Unmaskingreality Hawkeyetherapper S Mixtape,md,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/Unmasking Reality_ Hawk Eye The Rapper_s _Mixtape .md,,,,media,,,,,,,,lyrics
Updated_Unified_Reincarnated_Store_Catalog,Updated Unified Reincarnated Store Catalog,csv,https://s3.omniversalmedia.app/src/data/HAWK-ARS-00/Updated_Unified_Reincarnated_Store_Catalog.csv,,,,media,,,,,,,,media
